number	value	datetime_start	datetime_complete	duration	params_batch_size	params_lr	params_margin	params_norm	params_size_e	params_size_r	state
0	0.8453943634524357	2021-08-06 19:11:40.465072	2021-08-06 19:22:30.134704	0 days 00:10:49.669632	2000	0.08755734725056502	0	2	75	50	COMPLETE
1	0.9163679777168117	2021-08-06 19:22:30.135596	2021-08-06 19:33:28.081747	0 days 00:10:57.946151	2000	0.0001510197301208727	1	2	75	50	COMPLETE
2	0.9349665834167723	2021-08-06 19:33:28.082755	2021-08-06 19:43:49.579981	0 days 00:10:21.497226	3000	0.008002079756292479	0	2	50	75	COMPLETE
3	0.942435661173439	2021-08-06 19:43:49.581199	2021-08-06 19:57:50.580714	0 days 00:14:00.999515	2000	0.0004839379635846532	2	1	100	75	COMPLETE
4	0.9495867915079645	2021-08-06 19:57:50.581547	2021-08-06 20:08:53.665305	0 days 00:11:03.083758	2000	0.0018944836908329923	0	1	50	75	COMPLETE
5	0.9310009771562007	2021-08-06 20:08:53.666131	2021-08-06 20:17:50.597751	0 days 00:08:56.931620	3000	0.00022225686553089364	3	1	50	50	COMPLETE
6	0.90241066068829	2021-08-06 20:17:50.598555	2021-08-06 20:26:50.421013	0 days 00:08:59.822458	4000	0.0036178899962103603	3	2	50	50	COMPLETE
7	0.9296664207199588	2021-08-06 20:26:50.421851	2021-08-06 20:36:31.136642	0 days 00:09:40.714791	2000	0.0008172639965350122	3	1	75	25	COMPLETE
8	0.906287826797498	2021-08-06 20:36:31.137718	2021-08-06 20:47:04.296235	0 days 00:10:33.158517	3000	0.007493945084841898	3	2	50	75	COMPLETE
9	0.9393275239191922	2021-08-06 20:47:04.297176	2021-08-06 21:05:05.840442	0 days 00:18:01.543266	1000	0.005216399834677271	0	1	75	100	COMPLETE
10	0.8563618476747038	2021-08-06 21:05:05.842696	2021-08-06 21:19:56.696879	0 days 00:14:50.854183	1000	0.07593673229987488	1	1	25	100	COMPLETE
11	0.9426972782862918	2021-08-06 21:19:56.697792	2021-08-06 21:37:15.852083	0 days 00:17:19.154291	1000	0.000670734847314075	2	1	100	75	COMPLETE
12	0.947747214114715	2021-08-06 21:37:15.853060	2021-08-06 21:56:16.624080	0 days 00:19:00.771020	1000	0.0012830820543712942	2	1	100	100	COMPLETE
13	0.9572020678252364	2021-08-06 21:56:16.625001	2021-08-06 22:11:00.463280	0 days 00:14:43.838279	1000	0.001571936095502434	2	1	25	100	COMPLETE
14	0.9465940927831669	2021-08-06 22:11:00.464431	2021-08-06 22:25:47.562827	0 days 00:14:47.098396	1000	0.01729071469915783	1	1	25	100	COMPLETE
15	0.9561312255680916	2021-08-06 22:25:47.563832	2021-08-06 22:37:09.177129	0 days 00:11:21.613297	2000	0.0014255151629266217	2	1	25	100	COMPLETE
16	0.958705419736723	2021-08-06 22:37:09.178964	2021-08-06 22:47:15.704925	0 days 00:10:06.525961	4000	0.021276402295917513	2	1	25	100	COMPLETE
17	0.957272600845019	2021-08-06 22:47:15.705951	2021-08-06 22:57:23.186164	0 days 00:10:07.480213	4000	0.02600233991753036	2	1	25	100	COMPLETE
18	0.9473045252662677	2021-08-06 22:57:23.187837	2021-08-06 23:04:55.253690	0 days 00:07:32.065853	4000	0.03296061623333256	1	1	25	25	COMPLETE
19	0.9542452708313487	2021-08-06 23:04:55.254601	2021-08-06 23:15:00.769274	0 days 00:10:05.514673	4000	0.029786160631055592	2	1	25	100	COMPLETE
20	0.956838936832379	2021-08-06 23:15:00.770183	2021-08-06 23:24:14.531202	0 days 00:09:13.761019	4000	0.02269701448531079	1	1	25	75	COMPLETE
21	0.9598975441247494	2021-08-06 23:24:14.532152	2021-08-06 23:34:21.066337	0 days 00:10:06.534185	3000	0.012405005937175332	2	1	25	100	COMPLETE
22	0.9599159679639505	2021-08-06 23:34:21.067257	2021-08-06 23:44:24.033943	0 days 00:10:02.966686	3000	0.012071621685642272	2	1	25	100	COMPLETE
23	0.9601376231146477	2021-08-06 23:44:24.034853	2021-08-06 23:54:23.860777	0 days 00:09:59.825924	3000	0.012399394558326705	2	1	25	100	COMPLETE
24	0.9583913246749456	2021-08-06 23:54:23.861647	2021-08-07 00:06:18.009900	0 days 00:11:54.148253	3000	0.009474390228652265	3	1	50	100	COMPLETE
25	0.9604431225804902	2021-08-07 00:06:18.010784	2021-08-07 00:15:22.404425	0 days 00:09:04.393641	3000	0.013555936599279256	2	1	25	75	COMPLETE
26	0.9186250451483406	2021-08-07 00:15:22.405683	2021-08-07 00:25:43.604876	0 days 00:10:21.199193	3000	0.049322219651338144	2	1	50	75	COMPLETE
27	0.9581462438257043	2021-08-07 00:25:43.605967	2021-08-07 00:34:42.906859	0 days 00:08:59.300892	3000	0.004576706741344462	1	1	25	75	COMPLETE
28	0.957289386013764	2021-08-07 00:34:42.907748	2021-08-07 00:43:48.271819	0 days 00:09:05.364071	3000	0.012968603846265669	3	1	25	75	COMPLETE
29	0.9215961458185791	2021-08-07 00:43:48.272739	2021-08-07 00:52:40.244455	0 days 00:08:51.971716	3000	0.002852206688799475	2	2	50	50	COMPLETE
30	0.9229356652396095	2021-08-07 00:52:40.245314	2021-08-07 01:01:43.146788	0 days 00:09:02.901474	3000	0.056902076958991216	2	1	25	75	COMPLETE
31	0.9591963054737828	2021-08-07 01:01:43.147682	2021-08-07 01:11:39.326449	0 days 00:09:56.178767	3000	0.012728846838353614	2	1	25	100	COMPLETE
32	0.9597716634580276	2021-08-07 01:11:39.327325	2021-08-07 01:21:35.326482	0 days 00:09:55.999157	3000	0.014368855084709123	2	1	25	100	COMPLETE
33	0.9591961256789683	2021-08-07 01:21:35.327381	2021-08-07 01:32:23.103402	0 days 00:10:47.776021	2000	0.006888594292683165	2	1	25	100	COMPLETE
34	0.9265749525507176	2021-08-07 01:32:23.104317	2021-08-07 01:42:19.249387	0 days 00:09:56.145070	3000	0.043379202189952344	1	2	25	100	COMPLETE
35	0.9581821687733622	2021-08-07 01:42:19.250498	2021-08-07 01:52:35.203146	0 days 00:10:15.952648	3000	0.00954339044219047	2	1	50	75	COMPLETE
36	0.9543281114270944	2021-08-07 01:52:35.204051	2021-08-07 02:02:34.749606	0 days 00:09:59.545555	3000	0.0024821728621205724	3	1	25	100	COMPLETE
37	0.9558189095571061	2021-08-07 02:02:34.750521	2021-08-07 02:12:24.796714	0 days 00:09:50.046193	2000	0.0058301040479736554	2	1	50	50	COMPLETE
38	0.9120002730419124	2021-08-07 02:12:24.797645	2021-08-07 02:21:20.043428	0 days 00:08:55.245783	3000	0.010630199177717785	3	2	25	75	COMPLETE
39	0.9533265312077704	2021-08-07 02:21:20.044347	2021-08-07 02:33:35.763797	0 days 00:12:15.719450	2000	0.017179785550269142	2	1	50	100	COMPLETE
40	0.9040134974440073	2021-08-07 02:33:35.764750	2021-08-07 02:43:53.955596	0 days 00:10:18.190846	4000	0.08616667756074485	1	1	50	75	COMPLETE
41	0.9592384265934849	2021-08-07 02:43:53.956478	2021-08-07 02:53:44.005781	0 days 00:09:50.049303	3000	0.016808165642849867	2	1	25	100	COMPLETE
42	0.9586289032750969	2021-08-07 02:53:44.006705	2021-08-07 03:03:38.416425	0 days 00:09:54.409720	3000	0.004045907926189526	2	1	25	100	COMPLETE
43	0.9594028395026364	2021-08-07 03:03:38.417355	2021-08-07 03:13:26.800485	0 days 00:09:48.383130	3000	0.012474549615918075	2	1	25	100	COMPLETE
44	0.958597039098609	2021-08-07 03:13:26.801399	2021-08-07 03:23:26.954072	0 days 00:10:00.152673	3000	0.007559955639123731	2	1	25	100	COMPLETE
45	0.92773287812929	2021-08-07 03:23:26.955006	2021-08-07 03:37:31.610591	0 days 00:14:04.655585	3000	0.036704358232606434	3	1	75	100	COMPLETE
46	0.9581703806046408	2021-08-07 03:37:31.611501	2021-08-07 03:48:25.521779	0 days 00:10:53.910278	2000	0.015688983970560157	2	1	25	100	COMPLETE
47	0.9522978727015545	2021-08-07 03:48:25.522723	2021-08-07 03:55:56.286375	0 days 00:07:30.763652	3000	0.005145723707295626	2	1	25	25	COMPLETE
48	0.9358826196390412	2021-08-07 03:55:56.287341	2021-08-07 04:04:50.449474	0 days 00:08:54.162133	3000	0.02480303488341609	1	2	50	50	COMPLETE
49	0.9587544610670468	2021-08-07 04:04:50.450405	2021-08-07 04:15:36.721159	0 days 00:10:46.270754	2000	0.007542683145774459	3	1	25	100	COMPLETE
